ratio=8
angle=0
t,x,y
40.038,-4.631E-2,-8.456E-2
40.370,-4.138E-2,-8.440E-2
40.704,-3.430E-2,-8.379E-2
41.037,-2.859E-2,-8.440E-2
41.370,-2.274E-2,-8.410E-2
41.703,-1.765E-2,-8.363E-2
42.036,-1.118E-2,-8.379E-2
42.369,-6.252E-3,-8.379E-2
42.702,5.279E-4,-8.410E-2
43.035,4.996E-3,-8.317E-2
43.368,1.178E-2,-8.379E-2
43.701,1.686E-2,-8.379E-2
44.034,2.349E-2,-8.363E-2
44.368,2.826E-2,-8.317E-2
44.701,3.535E-2,-8.379E-2
45.034,3.997E-2,-8.348E-2
45.367,4.645E-2,-8.317E-2
45.700,5.138E-2,-8.317E-2
46.033,5.846E-2,-8.317E-2
46.366,6.278E-2,-8.302E-2
46.699,6.987E-2,-8.256E-2
47.033,7.418E-2,-8.286E-2
47.365,8.096E-2,-8.302E-2
47.698,8.589E-2,-8.256E-2
48.032,9.298E-2,-8.256E-2
48.365,9.649E-2,-8.266E-2
48.698,0.103,-8.254E-2
49.031,0.108,-8.230E-2
49.364,0.115,-8.254E-2
49.697,0.119,-8.242E-2
50.030,0.125,-8.242E-2
50.363,0.130,-8.217E-2
50.696,0.137,-8.217E-2
51.029,0.141,-8.217E-2
51.362,0.147,-8.205E-2
51.696,0.152,-8.168E-2
52.029,0.159,-8.168E-2
52.362,0.163,-8.168E-2
52.695,0.170,-8.193E-2
53.028,0.174,-8.205E-2
53.361,0.181,-8.156E-2
53.694,0.185,-8.156E-2
54.027,0.192,-8.168E-2
54.360,0.197,-8.168E-2
54.693,0.203,-8.168E-2
