ratio=8
angle=2
t,x,y
147.559,0.362,-0.139
147.725,0.361,-0.140
147.892,0.362,-0.141
148.058,0.362,-0.141
148.225,0.362,-0.141
148.391,0.362,-0.141
148.558,0.362,-0.141
148.724,0.359,-0.142
148.891,0.359,-0.142
149.058,0.358,-0.142
149.224,0.358,-0.140
149.391,0.357,-0.141
149.557,0.356,-0.142
149.724,0.357,-0.141
149.891,0.356,-0.141
150.057,0.355,-0.141
150.223,0.354,-0.141
150.390,0.353,-0.141
150.556,0.351,-0.144
150.723,0.351,-0.141
150.890,0.349,-0.142
151.056,0.348,-0.142
151.223,0.348,-0.142
151.389,0.348,-0.142
151.556,0.348,-0.142
151.722,0.347,-0.142
151.889,0.345,-0.142
152.055,0.345,-0.142
152.222,0.342,-0.144
152.388,0.341,-0.144
152.555,0.341,-0.144
152.722,0.340,-0.144
152.888,0.338,-0.143
153.055,0.336,-0.144
153.221,0.335,-0.144
153.388,0.335,-0.144
153.554,0.333,-0.143
153.721,0.332,-0.143
153.887,0.330,-0.144
154.054,0.329,-0.144
154.220,0.327,-0.144
154.387,0.326,-0.142
154.554,0.325,-0.142
154.720,0.324,-0.142
154.887,0.323,-0.142
155.053,0.320,-0.144
155.220,0.320,-0.142
155.386,0.318,-0.142
155.553,0.315,-0.142
155.720,0.314,-0.143
155.886,0.312,-0.142
156.052,0.310,-0.143
156.219,0.310,-0.144
156.386,0.307,-0.144
156.552,0.305,-0.144
156.719,0.303,-0.144
156.885,0.301,-0.144
157.052,0.301,-0.144
157.218,0.297,-0.145
157.385,0.295,-0.145
157.551,0.295,-0.144
157.718,0.292,-0.145
157.884,0.288,-0.145
158.051,0.285,-0.146
158.218,0.283,-0.145
158.384,0.282,-0.146
158.551,0.277,-0.147
158.717,0.273,-0.147
158.884,0.274,-0.147
159.050,0.268,-0.147
159.217,0.264,-0.147
159.383,0.260,-0.147
159.550,0.259,-0.148
159.716,0.257,-0.148
159.883,0.252,-0.148
160.049,0.250,-0.150
160.216,0.244,-0.150
160.383,0.242,-0.148
160.549,0.238,-0.148
160.716,0.234,-0.147
160.882,0.231,-0.149
161.049,0.228,-0.147
161.215,0.226,-0.148
161.382,0.222,-0.147
161.548,0.220,-0.147
161.715,0.217,-0.148
161.882,0.214,-0.148
162.048,0.209,-0.148
162.215,0.205,-0.148
162.381,0.204,-0.147
162.548,0.199,-0.149
162.714,0.194,-0.149
162.881,0.190,-0.148
163.047,0.188,-0.148
163.214,0.181,-0.147
163.380,0.179,-0.148
163.547,0.173,-0.146
163.713,0.168,-0.147
163.880,0.165,-0.147
164.047,0.159,-0.148
164.213,0.156,-0.150
164.380,0.152,-0.149
164.546,0.149,-0.149
164.713,0.144,-0.148
164.879,0.141,-0.147
